service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20180218,20180429
2,0,1,1,1,1,1,0,20180219,20180301
3,0,0,0,0,0,1,0,20180218,20180429
4,0,0,0,0,0,0,1,20180219,20180301
5,0,0,0,0,0,0,1,20180218,20180429
6,1,0,0,0,0,0,0,20180219,20180301
7,0,0,0,0,0,0,1,20180218,20180220
8,1,0,0,0,0,0,0,20180219,20180221
9,0,0,0,0,0,0,1,20180225,20180429
10,1,0,0,0,0,0,0,20180226,20180301
11,1,1,1,1,0,0,0,20180218,20180220
12,0,1,1,1,1,0,0,20180219,20180221
13,1,1,1,1,0,0,0,20180221,20180429
14,0,1,1,1,1,0,0,20180222,20180301
15,0,0,0,0,1,0,0,20180218,20180429
16,0,0,0,0,0,1,0,20180219,20180301
17,0,0,0,0,0,0,1,20180218,20180224
18,1,0,0,0,0,0,0,20180219,20180225
19,1,1,1,1,0,0,0,20180221,20180221
20,1,1,1,1,0,0,0,20180222,20180225
21,1,1,1,1,0,0,0,20180226,20180429
22,0,1,1,1,1,0,0,20180222,20180222
23,0,1,1,1,1,0,0,20180223,20180226
24,0,1,1,1,1,0,0,20180227,20180301
25,1,1,1,1,0,0,0,20180222,20180429
26,0,1,1,1,1,0,0,20180223,20180301
27,1,1,1,1,0,0,0,20180218,20180429
28,1,1,1,1,1,1,1,20180218,20180429
29,1,1,1,1,0,0,0,20180221,20180226
30,0,1,1,1,1,0,0,20180222,20180227
31,1,1,1,1,0,0,0,20180227,20180227
32,0,1,1,1,1,0,0,20180228,20180429
33,1,1,1,1,0,0,0,20180228,20180429
34,0,1,1,1,1,0,0,20180301,20180301
35,0,1,1,1,1,0,0,20180219,20180220
36,1,1,1,1,0,0,0,20180218,20180219
37,0,1,1,1,1,0,0,20180221,20180221
38,1,1,1,1,0,0,0,20180220,20180220
39,0,1,1,1,1,0,0,20180227,20180227
40,1,1,1,1,0,0,0,20180226,20180226
41,0,0,0,0,0,1,1,20180218,20180429
42,1,0,0,0,0,0,1,20180219,20180301
43,1,1,1,1,1,0,0,20180218,20180220
44,0,1,1,1,1,1,0,20180219,20180221
45,1,1,1,1,1,0,0,20180221,20180429
46,0,1,1,1,1,1,0,20180222,20180301
47,0,0,0,0,0,1,1,20180218,20180220
48,0,0,0,0,0,1,1,20180221,20180429
49,0,0,0,0,0,0,1,20180218,20180218
50,1,0,0,0,0,0,0,20180219,20180219
51,0,0,0,0,0,0,1,20180219,20180429
52,1,0,0,0,0,0,0,20180220,20180301
53,0,0,0,0,0,1,0,20180218,20180224
54,1,1,1,1,1,0,0,20180222,20180222
55,0,1,1,1,1,1,0,20180223,20180223
56,1,0,0,0,0,0,1,20180219,20180221
57,0,1,1,1,1,0,0,20180219,20180301
58,0,1,1,1,1,1,0,20180219,20180227
59,1,1,1,1,1,0,0,20180218,20180226
60,0,1,1,1,1,1,0,20180228,20180429
61,1,1,1,1,1,0,0,20180227,20180227
62,0,1,1,1,1,1,0,20180301,20180301
63,1,1,1,1,1,0,0,20180228,20180429
64,0,0,0,0,0,0,1,20180219,20180227
65,0,0,0,0,0,1,0,20180218,20180226
66,1,0,0,0,0,0,0,20180220,20180227
67,0,0,0,0,0,0,1,20180219,20180226
68,1,1,1,1,1,0,0,20180218,20180429
69,1,1,1,1,1,0,0,20180218,20180429
70,1,1,1,1,1,0,0,20180218,20180429
71,1,1,1,1,0,0,0,20180218,20180429
72,1,1,1,1,0,0,0,20180218,20180429
73,0,0,0,0,1,0,0,20180218,20180429
